Time,Roll,Pitch,Yaw,aX,aY,aZ
13:17:00.2045,-8.57,-22.98,-158.79,0.84,-6.18,-0.03
13:17:00.8747,-8.52,-22.59,-158.89,0.53,-5.02,-0.09
13:17:00.1553,-8.48,-22.22,-158.99,0.35,-4.84,-0.39
13:17:00.2223,-8.43,-21.83,-159.1,0.59,-4.47,-0.64
13:17:00.2893,-8.39,-21.45,-159.23,0.65,-4.47,-0.94
13:17:00.3563,-8.34,-21.08,-159.35,0.53,-4.96,-0.88
13:17:00.4227,-8.3,-20.68,-159.47,0.47,-5.26,-1.43
13:17:00.4894,-8.26,-20.28,-159.58,0.53,-5.87,-1.55
13:17:00.5562,-8.24,-19.85,-159.69,0.65,-6.06,-1.43
13:17:00.6218,-8.24,-19.39,-159.81,-0.02,-6.12,-2.4
13:17:00.6897,-8.27,-18.9,-159.91,-0.44,-6.85,-3.5
13:17:00.7564,-8.32,-18.38,-159.99,0.47,-5.02,-1.37
13:17:00.8234,-8.26,-17.97,-160.13,0.1,-5.2,-2.4
13:17:00.8903,-8.22,-17.56,-160.27,0.41,-5.2,-2.1
13:17:00.9573,-8.17,-17.14,-160.42,0.1,-5.14,-2.65
13:17:01.2425,-8.12,-16.72,-160.58,0.23,-5.75,-2.71
13:17:01.9146,-8.06,-16.3,-160.75,0.35,-6.42,-2.77
13:17:01.1584,-8.0,-15.87,-160.91,0.77,-7.03,-1.61
13:17:01.2266,-7.95,-15.44,-161.07,0.47,-6.79,-2.59
13:17:01.2924,-7.9,-14.97,-161.28,0.29,-5.08,-0.7
13:17:01.3644,-7.85,-14.57,-161.48,0.35,-6.73,-2.95
13:17:01.4254,-7.79,-14.12,-161.68,0.77,-7.34,-3.01
13:17:01.4923,-7.74,-13.67,-161.84,0.47,-6.67,-3.56
13:17:01.5586,-7.7,-13.2,-162.05,0.1,-6.54,-4.11
13:17:01.6256,-7.63,-12.72,-162.26,1.02,-7.58,-2.4
13:17:01.6962,-7.59,-12.26,-162.42,0.23,-6.91,-4.05
13:17:01.7597,-7.54,-11.77,-162.63,0.53,-7.09,-3.93
13:17:01.8263,-7.49,-11.29,-162.84,-0.02,-7.15,-4.11
13:17:01.8933,-7.44,-10.79,-163.04,0.29,-7.22,-4.23
13:17:01.9598,-7.39,-10.28,-163.28,0.47,-7.46,-4.11
13:17:02.2716,-7.34,-9.76,-163.44,1.32,-7.95,-3.44
13:17:02.9435,-7.29,-9.24,-163.6,0.96,-8.31,-4.11
13:17:02.1611,-7.24,-8.72,-163.83,0.59,-8.19,-3.93
13:17:02.2265,-7.19,-8.17,-163.98,1.45,-8.43,-3.68
13:17:02.2948,-7.13,-7.62,-164.14,1.38,-8.07,-3.62
13:17:02.3614,-7.07,-7.07,-164.27,1.32,-8.19,-3.5
13:17:02.4276,-7.01,-6.51,-164.33,1.45,-8.43,-3.44
13:17:02.4943,-6.96,-5.93,-164.39,1.38,-8.56,-3.01
13:17:02.5606,-6.89,-5.32,-164.4,1.32,-8.98,-2.83
13:17:02.6285,-6.84,-4.73,-164.46,1.63,-9.53,-2.16
