UTC,Latitude,Longitude,Altitude
044545.00,52.12587200036519,-4.847884000906742,252.4
044546.00,54.93897900008882,-3.0354870001734526,251.9
044547.00,57.7076100004304,-1.0896620007883029,251.3
044548.00,60.04260000009708,1.5788979985418334,250.6
044549.00,61.53254600038041,4.147386998377443,250.2
044550.00,63.6006800002152,6.182163999560544,249.8
044551.00,64.89048399999255,8.895199999789657,249.3
044552.00,66.34707300010727,11.53040299996246,248.6
044553.00,67.20323600022103,14.432461999461522,247.4
044554.00,67.57016300005307,17.301163999803247,246.1
044555.00,67.38114000027748,20.16986599812244,244.9
044556.00,67.32554500016504,23.049686998183276,243.8
044557.00,66.72511900016407,25.796079999592255,242.3
044558.00,65.93567000038752,27.830856998752825,241.1
044559.00,65.10174500021763,30.24367999847582,239.9
044600.00,64.29005799999157,33.067905999941104,238.4
044601.00,64.43460500038509,36.74829500000323,236.6
044602.00,64.37901000027264,40.13958999927836,235.4
044603.00,65.19069699999304,43.74214599928418,233.3
044604.00,66.51385800044464,46.88882299867127,231.6
044605.00,68.91556200044852,49.47954999996764,229.8
044606.00,70.92810100017087,51.92572999884796,228.0
044607.00,72.74049800039852,53.215533998625325,225.8
044608.00,74.97541700006505,54.22736299935732,224.0
044609.00,77.27705000006877,54.48309999896447,221.8
044610.00,78.83371000018364,55.18359699947123,219.9
044611.00,80.20134700001731,55.417095999640146,218.0
044612.00,81.22429500046842,56.57347199874312,215.5
044613.00,82.26948100035774,56.87368499924924,213.2
044614.00,83.45921400013493,57.462991998519826,210.7
044615.00,84.45992400013657,57.96334700003753,207.9
044616.00,85.97210800036373,58.27467899824023,205.6
044617.00,88.5294779999746,58.40810699891462,203.2
044618.00,90.64208800020273,59.308745998410444,200.7
044619.00,91.82070200026082,60.009242998917216,197.9
044620.00,93.57750400037604,60.38728899947964,194.9
044621.00,95.66787600015468,61.343522999593546,191.9
044622.00,97.18006000038184,61.45471299880718,189.2
044623.00,98.18077000038348,61.721568998133435,186.4
044624.00,98.74783900021585,61.87723499824606,183.5
044625.00,98.725601000272,62.87794499925894,180.2
044626.00,98.3475550002152,64.54579499959873,176.8
044627.00,97.280131000382,66.74735699859102,173.4
044628.00,96.6352289999877,69.06010899881949,169.9
044629.00,96.04592200021148,72.08447699927382,166.5
044630.00,96.70194300032489,75.5091289997288,163.5
044631.00,98.11405600004628,79.3340649981619,160.0
044632.00,99.2370749999919,83.08116799856124,156.9
